,ticker,security,sector,industry,isin
53,PCLN,Priceline.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,US7415034039
54,PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,US70450Y1038
55,USB,U.S. Bancorp,Financials,Diversified Banks,US9029733048
56,SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,US8552441094
57,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,US1491231015
58,LLY,Lilly (Eli) & Co.,Health Care,Pharmaceuticals,US5324571083
59,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,US5398301094
60,UPS,United Parcel Service,Industrials,Air Freight & Logistics,US9113121068
61,CELG,Celgene Corp.,Health Care,Biotechnology,US1510201049
62,COST,Costco Wholesale Corp.,Consumer Staples,Hypermarkets & Super Centers,US22160K1051
63,NEE,NextEra Energy,Utilities,Multi-Utilities,US65339F1012
64,NKE,Nike,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",US6541061031
65,CVS,CVS Health,Consumer Staples,Drug Retail,US1266501006
66,AXP,American Express Co,Financials,Consumer Finance,US0258161092
67,MS,Morgan Stanley,Financials,Investment Banking & Brokerage,US6174464486
68,TWX,Time Warner Inc.,Consumer Discretionary,Cable & Satellite,US8873173038
69,CHTR,Charter Communications,Consumer Discretionary,Cable & Satellite,US16119P1084
70,LOW,Lowe's Cos.,Consumer Discretionary,Home Improvement Retail,US5486611073
71,BIIB,Biogen Inc.,Health Care,Biotechnology,US09062X1037
72,CL,Colgate-Palmolive,Consumer Staples,Household Products,US1941621039
73,MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,US6092071058
74,DUK,Duke Energy,Utilities,Electric Utilities,US26441C2044
75,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,US20825C1045
76,WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,US9314271084
77,BLK,BlackRock,Financials,Asset Management & Custody Banks,US09247X1019
78,AGN,"Allergan, Plc",Health Care,Pharmaceuticals,IE00BY9D5467
79,DHR,Danaher Corp.,Health Care,Health Care Equipment,US2358511028
80,GM,General Motors,Consumer Discretionary,Automobile Manufacturers,US37045V1008
81,GD,General Dynamics,Industrials,Aerospace & Defense,US3695501086
82,AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,US0268747849
83,MET,MetLife Inc.,Financials,Life & Health Insurance,US59156R1086
84,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,US31428X1063
85,BK,The Bank of New York Mellon Corp.,Financials,Asset Management & Custody Banks,US0640581007
86,RTN,Raytheon Co.,Industrials,Aerospace & Defense,US7551115071
87,SO,Southern Co.,Utilities,Electric Utilities,US8425871071
88,MON,Monsanto Co.,Materials,Fertilizers & Agricultural Chemicals,US61166W1018
89,OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,US6745991058
90,SPG,Simon Property Group Inc,Real Estate,Retail REITs,US8288061091
91,KHC,Kraft HeinzÃÂ Co,Consumer Staples,Packaged Foods & Meats,US5007541064
92,F,Ford Motor,Consumer Discretionary,Automobile Manufacturers,US3453708600
93,COF,Capital One Financial,Financials,Consumer Finance,US14040H1059
94,EXC,Exelon Corp.,Utilities,Multi-Utilities,US30161N1019
95,EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,US2910111044
96,HAL,Halliburton Co.,Energy,Oil & Gas Equipment & Services,US4062161017
97,ALL,Allstate Corp,Financials,Property & Casualty Insurance,US0200021014
98,KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,US49456B1017
99,TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,US87612E1064
100,FOXA,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,US90130A1016
101,FOX,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,US90130A2006
